Symbol,EntryDate,EntryPrice,Quantity,Rank,Score,System,TrackType
HFCL,2026-06-24,204.77,48,1,116.3105,20-position,Paper
SYRMA,2026-06-24,1424.7,7,2,102.7926,20-position,Paper
WELCORP,2026-06-24,1406.0,7,3,87.2433,20-position,Paper
CPPLUS,2026-06-24,3617.6,2,4,85.5896,20-position,Paper
RRKABEL,2026-06-24,2438.0,4,5,73.7235,20-position,Paper
APARINDS,2026-06-24,16665.0,1,6,68.6511,20-position,Paper
DEEPAKFERT,2026-06-24,1602.7,6,7,66.4058,20-position,Paper
ADANIENT,2026-06-24,3069.7,3,8,64.4321,20-position,Paper
J&KBANK,2026-06-24,159.55,62,9,59.8666,20-position,Paper
BHARATFORG,2026-06-24,2122.8,4,10,58.5525,20-position,Paper
ACUTAAS,2026-06-24,3268.6,3,11,57.8234,20-position,Paper
ADANIGREEN,2026-06-24,1525.4,6,12,56.9454,20-position,Paper
HONASA,2026-06-24,415.95,24,13,54.9615,20-position,Paper
MAHABANK,2026-06-24,88.53,112,14,54.0552,20-position,Paper
POLYCAB,2026-06-24,9692.5,1,15,51.6179,20-position,Paper
ADANIPOWER,2026-06-24,229.76,43,16,51.5932,20-position,Paper
SOLARINDS,2026-06-24,17864.0,1,17,50.8115,20-position,Paper
ADANIPORTS,2026-06-24,1813.3,5,18,50.1385,20-position,Paper
KIRLOSENG,2026-06-24,2563.6,3,19,49.675,20-position,Paper
FEDERALBNK,2026-06-24,325.2,30,20,49.2908,20-position,Paper
